,JNAME,P0,DECJ,Flux,W50
216,J0804-3647,2.19198689593,-36:47:35.5,0.7226680056043154,37.95
217,J0806+08,2.0631,+08:17,NaN,NaN
218,J0806-4123,11.370385928090423,-41:22:30.9,NaN,NaN
219,J0807-5421,0.52664353143,-54:21:26.46,0.9967834560059524,10.2
220,J0808-3937,0.86634928471,-39:37:52.9,0.523311314403125,13.19
221,J0809-4753,0.5472021186838315,-47:53:54.70,11.0,7.4
222,J0812-3905,0.482595929159,-39:05:48.92,0.9469442832056548,37.06
223,J0813+22,0.5314,+22:01,NaN,21.0
224,J0815+0939,0.64516119106,+09:39:50.7,NaN,166.0
225,J0818-3049,0.7637418483,-30:49:31,0.8223463512049107,6.41
226,J0818-3232,2.161258926939,-32:32:30.53,3.4887420960208333,23.4
227,J0820-1350,1.2381295438681763,-13:50:55.859,24.0,6.4
228,J0820-3826,0.1248363804193,-38:26:42.88,1.2210597336072917,5.6
229,J0820-3921,1.07356658405,-39:21:55.7,0.9967834560059524,62.9
230,J0820-4114,0.5454455600749626,-41:14:35.3,32.0,94.8
231,J0821-4221,0.3967282353771,-42:21:25.46,1.9935669120119048,15.5
232,J0821-4300,0.1127994550719977,-43:00:17.074,NaN,NaN
233,J0823+0159,0.8648728046988048,+01:59:12.469,9.967834560059524,19.5
234,J0824+0028,0.009861348670367318,00:28:0.567,NaN,NaN
235,J0826+2637,0.5306605116860001,+26:37:21.297,24.91958640014881,5.8
236,J0828-3417,1.848918803654907,-34:17:07.057,0.6229896600037202,740.0
237,J0831-4406,0.311673518473,-44:06:11.9,1.071542215206399,6.1
238,J0834-4159,0.121116349354,-41:59:51,0.6977484192041667,4.7
239,J0834-60,0.384645,-60:35,NaN,NaN
240,J0835-3707,0.5414043736269504,-37:07:51.5,0.6977484192041667,4.9
241,J0835-4510,0.08932838502359318,-45:10:34.8751,2616.556572015625,1.4
242,J0836-4233,0.73843560627,-42:33:24.9,0.32146266456191963,14.21
243,J0837+0610,1.2737682915784503,06:10:14.56,12.459793200074404,24.8
244,J0837-24,NaN,-24:47:48,NaN,1.0
245,J0837-4135,0.7516254225473826,-41:35:14.563,77.0,3.8
246,J0838-2621,0.3085806621443,-26:21:29.55,1.2459793200074405,6.0
247,J0838-3947,1.7039457055449228,-39:47:22,0.27411545040163693,57.0
248,J0839-66,0.449339,-66:34:52,NaN,NaN
249,J0840-5332,0.7206137725065095,-53:32:35.92,6.0,10.5
250,J0842-4851,0.6443652289681416,-48:51:21.1,18.0,4.9
251,J0843+0719,1.36586,+07:18:47.8,NaN,23.0
252,J0843-5022,0.2089556931527,-50:22:43.10,1.7443710480104166,4.5
253,J0846-3533,1.1160984088254433,-35:33:41.2,9.2,6.8
254,J0847-4316,5.977492737,-43:16:56.8,NaN,27.0
255,J0848+16,0.4524,+16:43,NaN,NaN
256,J0849-6322,0.367953256307,-63:22:35.0,2.491958640014881,5.0
257,J0855-3331,1.2675357027556968,-33:31:39.3151,2.9,6.0
258,J0855-4644,0.0646861308252,-46:44:13.4,0.6977484192041667,4.2
259,J0855-4658,0.57507238258,-46:58:22.6,0.5731504872034227,11.0
260,J0856-6137,0.9625085573,-61:37:53.3,8.223463512049106,16.8
261,J0857+3349,NaN,+33:49:00,Nan,NaN
262,J0857-4424,0.326774210079,-44:24:10.32,2.4421194672145834,9.3
263,J0900-3144,0.0111096493380938,-31:44:30.89520,7.475875920044643,0.8
264,J0901-4624,0.4419951307864631,-46:24:48.5,1.2708989064075893,3.1
265,J0902-6325,0.6603133715,-63:25:12.0,4.236329688025298,16.7
266,J0904-4246,0.9651709987,-42:46:14,1.4951751840089285,21.0
267,J0904-7459,0.54955311909,-74:59:42.8,4.983917280029762,16.6
268,J0905-4536,0.9882805974,-45:36:53.0,2.7411545040163694,166.1
269,J0905-5127,0.346287436779,-51:27:48.71,2.616556572015625,7.4
270,J0905-6019,0.340854176542,-60:19:22.06,0.7475875920044642,5.3
271,J0907-5157,0.25355772534006443,-51:57:59.21,22.0,12.0
272,J0908-1739,0.40162562344216124,-17:39:37.67,9.967834560059524,8.6
273,J0908-4913,0.10676903708136032,-49:13:05.06,35.0,
274,J0909-7212,1.3628899542,-72:12:08.4,4.734721416028274,13.3
275,J0912-3851,1.526085076,-38:51:03,0.2491958640014881,35.6
276,J0919-42,0.8126,-42:00,NaN,NaN
277,J0919-6040,1.216975723,-60:40:50.4,0.4983917280029762,23.7
278,J0922+0638,0.4306270989281231,06:38:23.30,10.0,8.7
279,J0922-4949,0.9502885370275693,-49:49:12.08,1.295818492807738,6.9
280,J0922-52,0.00968,-52:00:00,0.39871338240238097,0.79
281,J0923-31,NaN,-31:57,NaN,NaN
282,J0924-5302,0.74629520954,-53:02:44.2,2.7411545040163694,13.1
283,J0924-5814,0.739505469965604,-58:14:05.1,13.0,19.9
284,J0927+2345,0.7618892360533487,23:45:10.7,0.14951751840089286,13.5
285,J0928+06,2.0604,+06:14,NaN,NaN
286,J0928+30,2.0915,+30:38,NaN,42.0
287,J0930-2301,1.80706867799,-23:01:45,NaN,62.1
288,J0931-1902,0.004638029391344134,-19:02:55.0373,1.04662262880625,NaN
289,J0932-3217,1.93162674308,-32:17:14.2,0.7475875920044642,13.4
290,J0932-5327,4.392158712729238,-53:27:11.0,0.3737937960022321,59.0
291,J0934-4154,0.57040923643,-41:54:19.5,0.7475875920044642,10.0
292,J0934-5249,1.4447771408216088,-52:49:27.4,4.7,6.0
293,J0935+33,0.9615,+33:11,NaN,29.0
294,J0940-5428,0.08754520430799902,-54:28:40.6,1.6446927024098215,2.6
295,J0941-39,0.58677841838,-39:41,NaN,NaN
296,J0941-5244,0.65855761432,-52:44:04.48,1.2459793200074405,15.4
297,J0942-5552,0.66436748807,-55:52:52.3,27.41154504016369,9.0
298,J0942-5657,0.8081643714147704,-56:57:43.21,3.6,3.7
299,J0943+1631,1.0874177280712083,16:31:37,3.2395462320193453,53.2
300,J0943+2253,0.5329747057408513,22:53:05.66,0.9718638696058036,11.5
301,J0944-1354,0.5702641245618781,-13:54:41.63,5.0,4.7
302,J0945-4833,0.3315855987755,-48:33:14.50,0.9718638696058036,4.6
303,J0946+0951,1.0977057048553227,09:51:55,NaN,40.8
304,J0947+2740,0.851013803292077,27:40:43.5,0.3239546232019345,40.0
305,J0949-6902,0.64001572416,-69:02:41.60,0.7475875920044642,3.7
306,J0951-71,0.212378,-71:19:01,NaN,NaN
307,J0952-0607,0.001413798376850358,-06:07:23.49,NaN,NaN
308,J0952-3839,1.3738151214,-38:39:10.2,9.967834560059524,33.6
309,J0953+0755,0.25306516494815756,07:55:35.75,210.0,13.3
310,J0954-5430,0.47283427926566723,-54:30:53.5,1.2708989064075893,9.7
311,J0955-5304,0.862122010594343,-53:04:16.57,6.7,3.7
312,J0955-61,0.001999,-61:48,NaN,NaN
313,J0957-06,1.7237,-06:17,NaN,NaN
314,J0957-5432,0.20355669753617672,-54:32:03.9,0.44855255520267856,3.6
315,J0959-4809,0.6700857604,-48:09:47.5,9.967834560059524,94.2
316,J1000+08,0.440372,+08:19:58,NaN,NaN
317,J1000-5149,0.2556770984252,-51:49:58.12,0.647909246403869,4.5
318,J1001-5507,1.4366308544996143,-55:07:08.6,25.0,4.0
319,J1001-5559,1.6611767402276296,-55:59:00.2,3.4887420960208333,14.8
320,J1001-5939,7.733640264889151,-59:39:17.8,0.3737937960022321,39.0
321,J1002-5559,0.7775009066640223,-55:59:37,0.2990350368017857,25.0
322,J1002-5919,0.7134892535,-59:19:37.2,0.4236329688025298,61.3
323,J1003-4747,0.30707421923366524,-47:47:01.2,3.0,7.2
324,J1005+30,NaN,+30:15,NaN,NaN
325,J1006-6311,0.835797468,-63:11:41.2,NaN,21.0
326,J1010+15,NaN,+15:51,NaN,NaN
327,J1012-2337,2.517945020504389,-23:38:22.4354,NaN,41.6
328,J1012-4235,0.003101,-42:35,NaN,NaN
329,J1012-5830,2.1335912144,-58:30:25.6,0.19935669120119048,31.0
330,J1012-5857,0.8199262449677011,-58:57:48.7,4.4,7.0
331,J1013-5934,0.44290093637012345,-59:34:26.63,5.8,4.7
332,J1014-48,1.5088,-48:49:42,NaN,21.0
333,J1015-5719,0.139881677595,-57:19:12.8,7.475875920044643,44.3
334,J1016-5345,0.7695835272,-53:45:13.8,2.7411545040163694,6.8
335,J1016-5819,0.08783415614318855,-58:19:01.15,0.8971051104053571,2.7
336,J1016-5857,0.1073864584587657,-58:57:12.1,2.242762776013393,2.9
337,J1017+30,0.4528,+30:10,NaN,27.0
338,J1017-5621,0.5034626204676947,-56:21:30.52,8.0,4.7
339,J1017-7156,0.0023385144401185426,-71:56:41.64586,2.467039053614732,0.06
340,J1018-1642,1.8046949457679968,-16:42:10.1534,1.7443710480104166,21.1
341,J1019-5749,0.162498709997,-57:49:05.9,9.469442832056547,56.2
342,J1020-5921,1.23830534423,-59:21:34,0.4983917280029762,16.9
343,J1020-6026,0.140479910179011,-60:26:06.8,0.6229896600037202,14.0
344,J1021-5601,0.6700262976088849,-56:01:50.9,0.9220246968055059,52.0
345,J1022+1001,0.016452929954195394,+10:01:52.765,12.210597336072917,0.972
346,J1022-5813,1.643726002,-58:13:30,0.4983917280029762,36.0
347,J1023+0038,0.0016879874702210563,00:38:40.8455,NaN,NaN
348,J1023-5746,0.11147243434221338,-57:46:05,NaN,NaN
349,J1024-0719,0.005162204562260423,-07:19:19.6099,5.731504872034225,0.521
350,J1028-5819,0.0914032309,-58:19:05.2,0.5980700736035715,0.1
351,J1031-6117,0.306410837119,-61:17:50.6,0.2990350368017857,10.0
352,J1032-5206,2.4076223113451127,-52:06:08.5,0.4734721416028274,21.0
353,J1032-5911,0.46420801,-59:10,2.7411545040163694,20.0
354,J1034-3224,1.1505904284171227,-32:24:25.996,19.0,48.8
355,J1035-6345,0.579576736318,-63:45:18.41,0.5980700736035715,8.2
356,J1035-6720,0.002872006391697237,-67:20:12.692,0.09967834560059524,NaN
357,J1036-4926,0.510368133101,-49:26:21.77,1.9935669120119048,9.9
358,J1036-6559,0.53350188629,-65:59:09.27,0.7475875920044642,8.3
359,J1036-8317,0.003408,-83:17,NaN,NaN
360,J1038+0032,0.02885155795131,+00:32:43.6,0.4983917280029762,2.1
361,J1038-5831,0.661992094032,-58:31:27.18,5.731504872034225,14.2
362,J1041-1942,1.3863680745875944,-19:42:13.61,5.731504872034225,48.9
363,J1042-5521,1.1708672441037384,-55:21:06.2,5.6,8.2
364,J1043-6116,0.288601695277,-61:16:50.8,3.4638225096206843,4.2
365,J1044-5737,0.13902889109808206,-57:37:19.3,NaN,NaN
366,J1045-4509,0.007474224228425392,-45:09:54.1223,6.827966673640774,0.84
367,J1046+0304,0.326271446035,+03:04:06.9,0.7475875920044642,23.0
368,J1046-5813,0.36942808789417764,-58:13:52.0,4.1,8.2
369,J1047-3032,0.3303280523312809,-30:32:18.0167,2.7411545040163694,23.2
370,J1047-6709,0.1984514505627,-67:09:51.066,7.725071784046131,2.2
371,J1048+2339,0.004665162936264298,+23:39:53.411,0.43609276200260416,NaN
372,J1048-5832,0.12372534335125973,-58:32:06.2,13.5,19.5
373,J1048-5838,1.23130477663,-58:38:19.02,NaN,7.0
374,J1049-5833,2.20232507704329,-58:33:44.6,1.7443710480104166,30.0
375,J1050-5953,6.452076578587154,-59:53:21.4,NaN,NaN
