,JNAME,P0,DECJ,Flux,W50
249,J1717-3425,0.6562992314590905,-34:24:59.5685,9.718638696058036,11.5
250,J1717-4054,0.8877194563423443,-41:03:17.8,8.0,17.5
251,J1719-4006,0.189094492501,-40:06:59.5,3.4887420960208333,5.1
252,J1720-1633,1.5656011480232308,-16:33:33.7268,3.4,4.1
253,J1720-2933,0.6204483653468403,-29:33:16.2416,7.0,15.0
254,J1722-3207,0.4771579477894289,-32:07:45.3,15.4,9.5
255,J1722-3712,0.23618184096201192,-37:12:03.7,7.5,7.0
256,J1723-3659,0.20272193786036188,-36:59:13.9,5.23311314403125,6.9
257,J1727-2739,1.2930999423474958,-27:39:00.5,4.236329688025298,87.3
258,J1730-2304,0.008122798046076985,-23:04:31.19,9.967834560059524,0.965
259,J1731-4744,0.8298287852354905,-47:44:36.26,67.28288328040179,17.1
260,J1732-4128,0.6279806844,-41:28:48,2.7411545040163694,13.4
261,J1733-2228,0.8716828329861209,-22:28:37.2348,9.967834560059524,61.3
262,J1735-0724,0.4193349661853239,-07:24:52.130,5.731504872034225,4.5
263,J1736-2457,2.6422234390449013,-24:57:50,2.0932452576125,62.0
264,J1737-3555,0.397584746441,-35:55:43.8,2.491958640014881,5.4
265,J1738+0333,0.005850095859775686,+03:33:10.881,1.6696122888099703,0.43
266,J1738-3211,0.7684989454804679,-32:11:53.6471,5.980700736035714,11.3
267,J1739-2903,0.32288797943406383,-29:03:02.9,11.0,
268,J1739-3131,0.5294409884251815,-31:31:15.3012,15.450143568092262,20.7
269,J1740+1000,0.154087174313,+10:00:06.3,6.728288328040179,8.4
270,J1740+1311,0.803050264794404,13:11:56.69,5.23311314403125,25.9
271,J1740-3015,0.6068866242543225,-30:15:43.5,22.17843189613244,2.4
272,J1741-0840,2.043082458401475,-08:40:31.711,3.4887420960208333,57.9
273,J1741-2733,0.8929586697783418,-27:33:51,4.485525552026786,40.9
274,J1741-3016,1.8937486937687293,-30:16:31,4.983917280029762,35.2
275,J1741-3927,0.5122123551296487,-39:27:38.2,11.6,7.5
